Date,Auctioneer,No. of Lots,Total Qty Arrived,Qty Sold,Max Price,Avg Price
02-Apr-2025,"The Kerala Cardamom Processing and Marketing Company Limited, Thekkady",201,51785.4,50874.4,2997.00,2704.7
02-Apr-2025,"Header Systems (India) Limited, Nedumkandam",189,42019.1,37773.2,3299.00,2722.71
